,X,Y,Z
269,2261.9019,359.0023,0
270,2272.0486,359.0259,0
271,2282.2227,359.0641,0
272,2292.4265,359.1179,0
273,2302.6626,359.1882,0
274,2312.9329,359.2762,0
275,2323.24,359.3828,0
276,2333.5859,359.5092,0
277,2343.9736,359.6563,0
278,2354.4048,359.8252,0
279,2364.8821,360.017,0
280,2375.4067,360.2322,0
281,2385.9761,360.4702,0
282,2396.5867,360.7297,0
283,2407.2356,361.0099,0
284,2417.9194,361.3098,0
285,2428.635,361.6281,0
286,2439.3792,361.9641,0
287,2450.1484,362.3165,0
288,2460.9397,362.6844,0
289,2471.7495,363.0668,0
290,2482.5752,363.4626,0
291,2493.4128,363.8708,0
292,2504.2595,364.2904,0
293,2515.1121,364.7203,0
294,2525.967,365.1595,0
295,2536.8213,365.6071,0
296,2547.6716,366.0618,0
297,2558.5146,366.5228,0
298,2569.3474,366.989,0
299,2580.1663,367.4594,0
300,2590.968,367.9329,0
301,2601.7498,368.4085,0
302,2612.5081,368.8852,0
303,2623.2397,369.362,0
304,2633.9414,369.8378,0
305,2644.6099,370.3116,0
306,2655.2419,370.7823,0
307,2665.8342,371.249,0
308,2676.3838,371.7106,0
309,2686.8872,372.166,0
310,2697.3411,372.6144,0
311,2707.7422,373.0546,0
312,2718.0876,373.4855,0
313,2728.3738,373.9062,0
314,2738.5977,374.3157,0
315,2748.7559,374.7129,0
316,2758.8452,375.0967,0
317,2768.8625,375.4662,0
318,2778.8044,375.8203,0
319,2788.6677,376.1581,0
320,2798.4519,376.4794,0
321,2808.1587,376.7853,0
322,2817.7903,377.0767,0
323,2827.3486,377.3546,0
324,2836.8359,377.6201,0
325,2846.2539,377.8742,0
326,2855.605,378.1178,0
327,2864.8909,378.352,0
328,2874.114,378.5777,0
329,2883.2761,378.796,0
330,2892.3794,379.0078,0
331,2901.4258,379.2143,0
332,2910.4175,379.4163,0
333,2919.3562,379.6149,0
334,2928.2444,379.8111,0
335,2937.084,380.0059,0
336,2945.877,380.2003,0
337,2954.6252,380.3953,0
338,2963.3311,380.5919,0
339,2971.9966,380.7911,0
340,2980.6235,380.994,0
341,2989.2141,381.2014,0
342,2997.7703,381.4145,0
343,3006.2942,381.6342,0
344,3014.7881,381.8615,0
345,3023.2537,382.0974,0
346,3031.6931,382.343,0
347,3040.1084,382.5993,0
348,3048.5017,382.8672,0
349,3056.875,383.1477,0
350,3065.2302,383.442,0
351,3073.5696,383.7508,0
352,3081.8953,384.0753,0
353,3090.2092,384.4161,0
354,3098.5142,384.7726,0
355,3106.813,385.1443,0
356,3115.1082,385.5306,0
357,3123.4026,385.9311,0
358,3131.6987,386.3451,0
359,3139.9998,386.7721,0
360,3148.3081,387.2116,0
361,3156.6262,387.663,0
362,3164.9573,388.1257,0
363,3173.304,388.5992,0
364,3181.6687,389.083,0
365,3190.0542,389.5764,0
366,3198.4636,390.079,0
367,3206.8992,390.5902,0
368,3215.3638,391.1094,0
369,3223.8601,391.6361,0
370,3232.3909,392.1697,0
371,3240.959,392.7097,0
372,3249.5669,393.2556,0
373,3258.2173,393.8067,0
374,3266.9133,394.3625,0
375,3275.6572,394.9225,0
376,3284.4519,395.4861,0
377,3293.3,396.0528,0
378,3302.2043,396.6219,0
379,3311.1675,397.1931,0
380,3320.1921,397.7657,0
381,3329.2815,398.3391,0
382,3338.4375,398.9128,0
383,3347.6636,399.4863,0
384,3356.9619,400.059,0
385,3366.3335,400.6304,0
386,3375.7744,401.2007,0
387,3385.2788,401.7697,0
388,3394.8418,402.3376,0
389,3404.4578,402.9045,0
390,3414.1213,403.4704,0
391,3423.8276,404.0353,0
392,3433.5708,404.5993,0
393,3443.3457,405.1624,0
394,3453.1472,405.7248,0
395,3462.9697,406.2864,0
396,3472.8081,406.8474,0
397,3482.657,407.4077,0
398,3492.5112,407.9675,0
399,3502.365,408.5267,0
400,3512.2136,409.0855,0
401,3522.0513,409.6439,0
402,3531.8728,410.202,0
403,3541.6729,410.7597,0
404,3551.4463,411.3173,0
405,3561.1875,411.8746,0
406,3570.8914,412.4318,0
407,3580.5525,412.989,0
408,3590.1655,413.5461,0
409,3599.7253,414.1033,0
410,3609.2263,414.6606,0
411,3618.6636,415.218,0
412,3628.0312,415.7756,0
413,3637.3242,416.3336,0
414,3646.5374,416.8918,0
415,3655.6653,417.4504,0
416,3664.7024,418.0094,0
417,3673.6438,418.5689,0
418,3682.4836,419.129,0
419,3691.2173,419.6896,0
420,3699.8389,420.251,0
421,3708.3474,420.8146,0
422,3716.7456,421.3836,0
423,3725.0371,421.9614,0
424,3733.2249,422.5511,0
425,3741.3123,423.1562,0
426,3749.3022,423.78,0
427,3757.1985,424.4255,0
428,3765.0039,425.0963,0
429,3772.7217,425.7955,0
430,3780.3555,426.5265,0
431,3787.9082,427.2925,0
432,3795.3831,428.0969,0
433,3802.7832,428.9428,0
434,3810.1123,429.8337,0
435,3817.3733,430.7728,0
436,3824.5693,431.7634,0
437,3831.7039,432.8087,0
438,3838.7803,433.9122,0
439,3845.8013,435.077,0
440,3852.7705,436.3064,0
441,3859.6909,437.6037,0
442,3866.5662,438.9723,0
443,3873.3992,440.4154,0
444,3880.1934,441.9363,0
445,3886.9517,443.5383,0
446,3893.6777,445.2247,0
447,3900.3743,446.9987,0
448,3907.0452,448.8635,0
449,3913.6926,450.8157,0
450,3920.3186,452.8449,0
451,3926.9255,454.9403,0
452,3933.5151,457.0912,0
453,3940.0894,459.2867,0
454,3946.6504,461.516,0
455,3953.2002,463.7683,0
456,3959.7405,466.0329,0
457,3966.2737,468.299,0
458,3972.8018,470.5556,0
459,3979.3264,472.7921,0
460,3985.8499,474.9977,0
461,3992.374,477.1615,0
462,3998.9011,479.2728,0
463,4005.4329,481.3207,0
464,4011.9712,483.2945,0
465,4018.5186,485.1833,0
466,4025.0767,486.9764,0
467,4031.6475,488.663,0
468,4038.2332,490.2323,0
469,4044.8354,491.6735,0
470,4051.4568,492.9757,0
471,4058.0989,494.1282,0
472,4064.7637,495.1202,0
473,4071.4534,495.941,0
474,4078.1636,496.5838,0
475,4084.8582,497.0639,0
476,4091.4907,497.4032,0
477,4098.0146,497.6238,0
478,4104.3843,497.7476,0
479,4110.5527,497.7967,0
480,4116.4731,497.7931,0
481,4122.1001,497.7587,0
482,4127.3862,497.7157,0
483,4132.2856,497.6859,0
484,4136.7524,497.6915,0
485,4140.7393,497.7544,0
486,4144.2007,497.8966,0
487,4147.0894,498.1402,0
488,4149.3594,498.5071,0
489,4150.9644,499.0193,0
490,4151.8584,499.699,0
491,4151.9985,500.5659,0
492,4151.4028,501.6115,0
493,4150.1309,502.8068,0
494,4148.2441,504.1224,0
495,4145.8037,505.5287,0
496,4142.8701,506.9965,0
497,4139.5049,508.4962,0
498,4135.7686,509.9985,0
499,4131.7222,511.4738,0
500,4127.4268,512.8926,0
501,4122.9434,514.2257,0
502,4118.3335,515.4436,0
503,4113.6558,516.5176,0
504,4108.9419,517.4384,0
505,4104.1938,518.216,0
506,4099.4121,518.8612,0
507,4094.5981,519.3849,0
508,4089.752,519.7977,0
509,4084.8745,520.1107,0
510,4079.967,520.3344,0
511,4075.0298,520.4797,0
512,4070.064,520.5576,0
513,4065.0701,520.5786,0
514,4060.0493,520.5537,0
515,4055.002,520.4937,0
516,4049.9292,520.4094,0
517,4044.8315,520.3115,0
518,4039.71,520.2109,0
519,4034.5654,520.1185,0
520,4029.3984,520.0449,0
521,4024.2097,520.001,0
522,4019.0005,519.9961,0
523,4013.7727,520.0325,0
524,4008.5281,520.1106,0
525,4003.2688,520.2308,0
526,3997.9968,520.3936,0
527,3992.7146,520.5991,0
528,3987.4238,520.848,0
529,3982.1267,521.1404,0
530,3976.8252,521.477,0
531,3971.5215,521.8579,0
532,3966.2178,522.2837,0
533,3960.9158,522.7547,0
534,3955.6179,523.2713,0
535,3950.3259,523.8339,0
536,3945.0422,524.4428,0
537,3939.7686,525.0985,0
538,3934.5071,525.8014,0
539,3929.26,526.5518,0
540,3924.0291,527.3501,0
541,3918.8167,528.1967,0
542,3913.6228,529.0912,0
543,3908.4434,530.0312,0
544,3903.2739,531.0142,0
545,3898.1099,532.0377,0
546,3892.947,533.0992,0
547,3887.7803,534.1963,0
548,3882.6055,535.3263,0
549,3877.4182,536.4868,0
550,3872.2136,537.6752,0
551,3866.9875,538.889,0
552,3861.7351,540.1258,0
553,3856.4521,541.383,0
554,3851.134,542.6581,0
555,3845.7761,543.9486,0
556,3840.374,545.252,0
557,3834.9233,546.5657,0
558,3829.4192,547.8873,0
559,3823.8574,549.2143,0
560,3818.2332,550.5441,0
561,3812.5422,551.8741,0
562,3806.781,553.2023,0
563,3800.9514,554.5267,0
564,3795.0569,555.8464,0
565,3789.1013,557.1599,0
566,3783.0881,558.4659,0
567,3777.0212,559.7634,0
568,3770.9041,561.0508,0
569,3764.7402,562.327,0
570,3758.5337,563.5906,0
571,3752.2876,564.8405,0
572,3746.0061,566.0753,0
573,3739.6924,567.2938,0
574,3733.3506,568.4946,0
575,3726.9839,569.6766,0
576,3720.5962,570.8384,0
577,3714.1912,571.9787,0
578,3707.7725,573.0963,0
579,3701.3435,574.1899,0
580,3694.908,575.2582,0
581,3688.4697,576.2999,0
582,3682.0325,577.3138,0
583,3675.5994,578.2986,0
584,3669.1746,579.2531,0
585,3662.7615,580.1758,0
586,3656.3623,581.0664,0
587,3649.9749,581.9261,0
588,3643.5974,582.7563,0
589,3637.2278,583.5585,0
590,3630.8633,584.3342,0
591,3624.502,585.085,0
592,3618.1416,585.8121,0
593,3611.78,586.5171,0
594,3605.415,587.2015,0
595,3599.0442,587.8669,0
596,3592.6653,588.5146,0
597,3586.2764,589.1461,0
598,3579.8752,589.7629,0
599,3573.4592,590.3665,0
600,3567.0266,590.9583,0
601,3560.5747,591.5398,0
602,3554.1018,592.1125,0
603,3547.6052,592.678,0
604,3541.083,593.2375,0
605,3534.533,593.7927,0
606,3527.9526,594.345,0
607,3521.3401,594.8959,0
608,3514.6929,595.4468,0
609,3508.0088,595.9993,0
610,3501.2861,596.5543,0
611,3494.5237,597.111,0
612,3487.7209,597.6683,0
613,3480.8774,598.2249,0
614,3473.9924,598.7794,0
615,3467.0654,599.3306,0
616,3460.0957,599.8774,0
617,3453.0825,600.4184,0
618,3446.0254,600.9524,0
619,3438.9241,601.4781,0
620,3431.7773,601.9944,0
621,3424.5847,602.4999,0
622,3417.3459,602.9933,0
623,3410.0601,603.4735,0
624,3402.7268,603.9392,0
625,3395.3452,604.3891,0
626,3387.9148,604.822,0
627,3380.4348,605.2366,0
628,3372.905,605.6317,0
629,3365.3245,606.006,0
630,3357.6926,606.3583,0
631,3350.009,606.6874,0
632,3342.2727,606.9918,0
633,3334.4834,607.2706,0
634,3326.6406,607.5222,0
635,3318.7432,607.7456,0
636,3310.791,607.9395,0
637,3302.7834,608.1027,0
638,3294.7219,608.236,0
639,3286.6091,608.3412,0
640,3278.4482,608.4205,0
641,3270.2419,608.4758,0
642,3261.9932,608.5089,0
643,3253.7046,608.5219,0
644,3245.3789,608.5166,0
645,3237.0193,608.4952,0
646,3228.6282,608.4596,0
647,3220.2087,608.4116,0
648,3211.7637,608.3533,0
649,3203.2959,608.2867,0
650,3194.8081,608.2136,0
651,3186.3032,608.1361,0
652,3177.7839,608.0562,0
653,3169.2534,607.9757,0
654,3160.7141,607.8967,0
655,3152.1689,607.821,0
656,3143.6208,607.7508,0
657,3135.0725,607.6879,0
658,3126.5271,607.6342,0
659,3117.9871,607.5919,0
660,3109.4553,607.5627,0
661,3100.9348,607.5488,0
662,3092.4282,607.5519,0
663,3083.9387,607.5742,0
664,3075.4685,607.6176,0
665,3067.021,607.684,0
666,3058.5989,607.7753,0
667,3050.2048,607.8937,0
668,3041.8418,608.0409,0
669,3033.5105,608.2179,0
670,3025.2073,608.4233,0
671,3016.9287,608.6557,0
672,3008.6707,608.9134,0
673,3000.4294,609.1949,0
674,2992.2012,609.4988,0
675,2983.9822,609.8235,0
676,2975.7688,610.1674,0
677,2967.5566,610.5291,0
678,2959.3423,610.9069,0
679,2951.1218,611.2993,0
680,2942.8916,611.7048,0
681,2934.6477,612.122,0
682,2926.386,612.5492,0
683,2918.1033,612.9849,0
684,2909.7952,613.4276,0
685,2901.458,613.8757,0
686,2893.0881,614.3279,0
687,2884.6816,614.7823,0
688,2876.2349,615.2377,0
689,2867.7437,615.6923,0
690,2859.2043,616.1447,0
691,2850.6133,616.5934,0
692,2841.9663,617.0367,0
693,2833.26,617.4734,0
694,2824.4902,617.9016,0
695,2815.6533,618.32,0
696,2806.7454,618.7269,0
697,2797.7627,619.121,0
698,2788.7014,619.5005,0
699,2779.5576,619.8641,0
700,2770.3281,620.2101,0
701,2761.0144,620.5383,0
702,2751.6226,620.8491,0
703,2742.1582,621.1428,0
704,2732.6272,621.4199,0
705,2723.0356,621.6807,0
706,2713.3889,621.9257,0
707,2703.6936,622.1553,0
708,2693.9548,622.3699,0
709,2684.179,622.5698,0
710,2674.3718,622.7557,0
711,2664.5388,622.9277,0
712,2654.6863,623.0865,0
713,2644.8198,623.2323,0
714,2634.9456,623.3656,0
715,2625.0691,623.4867,0
716,2615.1963,623.5962,0
717,2605.333,623.6943,0
718,2595.4854,623.7816,0
719,2585.6589,623.8584,0
720,2575.8596,623.9252,0
721,2566.0935,623.9823,0
722,2556.3662,624.0302,0
723,2546.6836,624.0693,0
724,2537.0515,624.1,0
725,2527.4758,624.1227,0
726,2517.9626,624.1378,0
727,2508.5176,624.1457,0
728,2499.1465,624.1469,0
729,2489.8555,624.1417,0
730,2480.6499,624.1306,0
731,2471.5361,624.114,0
732,2462.5198,624.0922,0
733,2453.6067,624.0658,0
734,2444.803,624.035,0
735,2436.114,624.0005,0
736,2427.5444,623.9625,0
737,2419.0898,623.9216,0
738,2410.7451,623.8785,0
739,2402.5042,623.8339,0
740,2394.3613,623.7883,0
741,2386.311,623.7424,0
742,2378.3477,623.6968,0
743,2370.4651,623.652,0
744,2362.6577,623.6089,0
745,2354.9202,623.568,0
746,2347.2463,623.5298,0
747,2339.6309,623.4952,0
748,2332.0676,623.4646,0
749,2324.551,623.4387,0
750,2317.0757,623.4181,0
751,2309.6355,623.4034,0
752,2302.2249,623.3954,0
753,2294.8381,623.3945,0
754,2287.4695,623.4016,0
755,2280.113,623.4171,0
756,2272.7637,623.4417,0
757,2265.415,623.476,0
758,2258.0618,623.5206,0
759,2250.698,623.5763,0
760,2243.3179,623.6435,0
761,2235.916,623.723,0
762,2228.4866,623.8153,0
763,2221.0237,623.9211,0
764,2213.522,624.0411,0
765,2205.9778,624.175,0
766,2198.3921,624.3217,0
767,2190.7656,624.4797,0
768,2183.0991,624.6476,0
769,2175.3936,624.8241,0
770,2167.6499,625.0077,0
771,2159.8689,625.1971,0
772,2152.0515,625.391,0
773,2144.1987,625.5879,0
774,2136.3115,625.7864,0
775,2128.3904,625.9852,0
776,2120.4365,626.1829,0
777,2112.4509,626.378,0
778,2104.4341,626.5693,0
779,2096.3872,626.7552,0
780,2088.311,626.9346,0
781,2080.2065,627.106,0
782,2072.0745,627.2679,0
783,2063.916,627.419,0
784,2055.7317,627.558,0
785,2047.5227,627.6833,0
786,2039.2897,627.7938,0
787,2031.0338,627.8879,0
788,2022.7556,627.9643,0
789,2014.4563,628.0216,0
790,2006.1367,628.0585,0
791,1997.7975,628.0735,0
792,1989.4398,628.0652,0
793,1981.0645,628.0323,0
794,1972.6722,627.9735,0
795,1964.2638,627.8885,0
796,1955.8391,627.7786,0
797,1947.3981,627.6454,0
798,1938.9408,627.4901,0
799,1930.4672,627.3142,0
800,1921.9772,627.1192,0
801,1913.4708,626.9064,0
802,1904.9482,626.6774,0
803,1896.4092,626.4335,0
804,1887.8538,626.176,0
805,1879.282,625.9066,0
806,1870.6938,625.6266,0
807,1862.0892,625.3373,0
808,1853.4681,625.0403,0
809,1844.8306,624.7369,0
810,1836.1766,624.4287,0
811,1827.5062,624.1169,0
812,1818.8192,623.8031,0
813,1810.1158,623.4886,0
814,1801.3959,623.1749,0
815,1792.6593,622.8634,0
816,1783.9062,622.5555,0
817,1775.1367,622.2526,0
818,1766.3505,621.9562,0
819,1757.5477,621.6677,0
820,1748.7284,621.3885,0
821,1739.8923,621.1201,0
822,1731.0398,620.8639,0
823,1722.1705,620.6212,0
824,1713.2845,620.3936,0
825,1704.382,620.1823,0
826,1695.4628,619.9889,0
827,1686.5269,619.8143,0
828,1677.5746,619.6582,0
829,1668.6064,619.5198,0
830,1659.6227,619.3983,0
831,1650.6237,619.2931,0
832,1641.6096,619.2032,0
833,1632.5812,619.1283,0
834,1623.5386,619.0673,0
835,1614.4821,619.0195,0
836,1605.4121,618.9843,0
837,1596.3291,618.9609,0
838,1587.2333,618.9486,0
839,1578.1251,618.9467,0
840,1569.0049,618.9543,0
841,1559.8729,618.9709,0
842,1550.7297,618.9956,0
843,1541.5754,619.0277,0
844,1532.4106,619.0665,0
845,1523.2355,619.1113,0
846,1514.0505,619.1613,0
847,1504.856,619.2157,0
848,1495.6522,619.2738,0
849,1486.4396,619.335,0
850,1477.2185,619.3985,0
851,1467.9894,619.4635,0
852,1458.7524,619.5293,0
853,1449.5081,619.5952,0
854,1440.2567,619.6605,0
855,1430.9985,619.7244,0
856,1421.7341,619.7861,0
857,1412.4637,619.845,0
858,1403.1877,619.9003,0
859,1393.9064,619.9512,0
860,1384.6201,619.9971,0
861,1375.3293,620.0374,0
862,1366.0347,620.0714,0
863,1356.7363,620.0991,0
864,1347.4352,620.1201,0
865,1338.1316,620.134,0
866,1328.8262,620.1408,0
867,1319.5195,620.14,0
868,1310.212,620.1313,0
869,1300.9044,620.1145,0
870,1291.5972,620.0894,0
871,1282.2908,620.0554,0
872,1272.9858,620.0125,0
873,1263.6829,619.9603,0
874,1254.3823,619.8984,0
875,1245.085,619.8268,0
876,1235.7913,619.745,0
877,1226.5017,619.6527,0
878,1217.2169,619.5497,0
879,1207.9373,619.4357,0
880,1198.6635,619.3104,0
881,1189.3961,619.1735,0
882,1180.1356,619.0247,0
883,1170.8826,618.8636,0
884,1161.6375,618.6901,0
885,1152.4009,618.5039,0
886,1143.1735,618.3046,0
887,1133.9557,618.092,0
888,1124.748,617.8657,0
889,1115.5511,617.6255,0
890,1106.3655,617.3712,0
891,1097.1917,617.1023,0
892,1088.0303,616.8187,0
893,1078.8817,616.5199,0
894,1069.7466,616.2058,0
895,1060.6255,615.8761,0
896,1051.5187,615.5308,0
897,1042.4254,615.1706,0
898,1033.3456,614.796,0
899,1024.2788,614.4077,0
900,1015.2243,614.0065,0
901,1006.1819,613.5928,0
902,997.1512,613.1672,0
903,988.1317,612.7306,0
904,979.123,612.2835,0
905,970.1247,611.8265,0
906,961.1363,611.3604,0
907,952.1574,610.8855,0
908,943.1876,610.4028,0
909,934.2265,609.9127,0
910,925.2736,609.416,0
911,916.3286,608.9132,0
912,907.3909,608.405,0
913,898.4602,607.8921,0
914,889.536,607.375,0
915,880.618,606.8545,0
916,871.7056,606.3311,0
917,862.7985,605.8054,0
918,853.8962,605.2782,0
919,844.9984,604.7501,0
920,836.1046,604.2216,0
921,827.2143,603.6935,0
922,818.3272,603.1664,0
923,809.4427,602.6408,0
924,800.5607,602.1176,0
925,791.6804,601.5971,0
926,782.8016,601.0802,0
927,773.9238,600.5675,0
928,765.0466,600.0596,0
929,756.1698,599.5569,0
930,747.295,599.0593,0
931,738.4241,598.5663,0
932,729.5593,598.0774,0
933,720.7025,597.592,0
934,711.8557,597.1096,0
935,703.0211,596.6299,0
936,694.2007,596.1522,0
937,685.3965,595.6761,0
938,676.6106,595.201,0
939,667.845,594.7265,0
940,659.1017,594.2521,0
941,650.3829,593.7772,0
942,641.6904,593.3013,0
943,633.0265,592.8241,0
944,624.393,592.3448,0
945,615.7922,591.8632,0
946,607.2259,591.3787,0
947,598.6964,590.8906,0
948,590.2054,590.3987,0
949,581.7552,589.9023,0
950,573.3479,589.4009,0
951,564.9854,588.8942,0
952,556.6697,588.3815,0
953,548.4029,587.8622,0
954,540.1871,587.3362,0
955,532.0242,586.8026,0
956,523.9164,586.2611,0
957,515.8658,585.7112,0
