350.333,2253,30
314.333,2257.667,31
308.333,2297.667,27
341,2292.333,26
300.333,2305,15
338.333,2283,11
268.333,2279.667,13
302.333,2239.667,12
351,2216.333,12
300.333,2198.333,19
269.667,2203.667,19
257.667,2208.333,19
241,2210.333,19
290.333,2195,19
311.667,2195,19
323.667,2185.667,19
337,2185.667,19
271.667,2232.333,18
262.333,2221,15
271.667,2257,15
359.667,2218.333,18
241.667,2209.667,22
259,2209.667,22
274.333,2203,22
299,2197.667,22
327,2185,22
339.667,2191.667,22
356.333,2187,22
324.333,2291,23
263,2229,23
263.667,2261,23
332.333,2197.667,26
267,2222.333,28
267,2247.667,27
216.333,2301.667,26
234.333,2281,25
245,2267,23
247,2288.333,21
234.333,2290.333,21
225,2281,17
248.333,2269.667,19
214.333,2238.333,28
187.667,2242.333,28
154.333,2248.333,28
123.667,2255.667,28
168.333,2248.333,27
145,2255,26
184.333,2255,23
195,2255,23
202.333,2245.667,23
214.333,2247,25
192.333,2264.333,25
83,2269,23
101.667,2266.333,23
84.333,2281,23
97.667,2279.667,23
273,2203.667,24
373,2249,12
421,2249,13
457,2269,13
498,2248,13
434,2184,13
161,2244,16
164,2254,16
106,2258,16
178,2256,16
180,2239,16
192,2241,16
196,2254,16
180,2247,16
209,2243,16
223,2245,16
148,2262,18
196,2244,21
215,2252,21
186,2273,21
156,2257,21
174,2293,21
192,2298,21
150,2292,21
138,2288,21
119,2282,21
117,2264,21
95,2277,21
84,2282,21
35,2259,21
162,2279,23
142,2255,25
176,2244,27
189,2243,27
201,2241,11
368,2177.5,19
456,2306.5,18
380,2184.5,22
420,2179,22
471.5,2300,27
491,2296,27
478,2293.5,27
496,2210,27
502,2208.5,27
490.5,2219,27
484.5,2218.5,27
449,2317,29
461.5,2240.5,29
437.5,2232,29
396.5,2242,29
438.5,2203.5,29
488.5,2183.5,29
517,2347.5,18
483,2222,24
495.5,2224,24
500.5,2215.5,24
505.5,2271.5,32
560,2304.5,12
599.5,2272.5,12
638.5,2249,12
725,2241,12
700,2301,12
569,2184.5,15
709.5,2198.5,15
690.5,2159.5,15
591,2290.5,17
685.5,2150.5,20
698.5,2152,20
715.5,2147,20
730.5,2142.5,20
755,2141.5,20
604,2156,21
531,2168,21
677,2167.5,23
691,2171.5,23
605.5,2238,23
589.5,2174.5,25
569.5,2179,25
578,2188.5,25
669.5,2163.5,25
690,2173.5,25
788.667,2141.667,15
801.333,2242.333,19
999.333,2150.333,15
786,2135,20
855.333,2139.667,20
902.667,2124.333,20
948.667,2123,20
966,2119.667,20
994,2121,20
1021.333,2119,20
800,2166.333,25
796,2177,25
806.667,2179,25
803.333,2185.667,25
919.333,2199,25
925.333,2193.667,25
926,2205,25
936.667,2209,25
936,2199,25
938.667,2191.667,25
973.333,2117,25
788.667,2136.333,27
1002.667,2307.333,10
1098.667,2326.667,10
1067.333,2253.333,10
1154,2338,10
1170.667,2336.667,10
1186.667,2344.667,10
1180.667,2316,10
1208.667,2304.667,10
1241.333,2316.667,10
1284.667,2331.333,10
1262.667,2266.667,10
1286,2232.667,15
1322,2163.333,13
1310.667,2172.667,13
1234,2145.333,14
1259.333,2167.333,14
1267.333,2152,14
1283.333,2138,14
1058.667,2126.667,15
1094.667,2233.333,17
1085.333,2120.667,20
1134,2118.667,20
1256,2129.333,20
1288,2127.333,20
1272.667,2141.333,20
1309.333,2160.667,20
1292,2186,20
1291.333,2183.333,21
1291.333,2149.333,21
1268,2255.333,21
1191.333,2121.333,25
1067.333,2184,26
1054.667,2196,26
1067.333,2209.333,26
1072,2194,26
1155.333,2184.667,26
1167.333,2205.333,26
1174.667,2188.667,26
1173.333,2196.667,26
1182.667,2194,26
1190,2194.667,26
1296,2142,26
1088.667,2161.333,31
1383.667,2279.667,10
1493,2295.667,10
1498.333,2339.667,10
1518.333,2275.667,10
1578.333,2270.333,10
1445,2193,10
1637,2145,10
1373,2194.333,11
1397,2202.333,11
1397,2175.667,11
1311.667,2175.667,11
1322.333,2162.333,11
1269,2158.333,12
1283.667,2142.333,12
1489,2127.667,11
1583.667,2143.667,11
1605,2141,11
1630.333,2122.333,11
1639.667,2197,12
1727.667,2126.333,12
1769,2125,12
1446.333,2194.333,11
1521,2247.667,15
1377,2390.333,15
1373,2130.333,16
1411.667,2125,16
1466.333,2119.667,16
1562.333,2335.667,20
1773,2261,20
1719.667,2381,20
1919.667,2398.333,20
1577,2117,20
1349,2129,19
1365,2123.667,19
1836.333,2137.333,10
1876.333,2132,10
1903,2132,10
1987,2122.667,15
2012.333,2116,15
2056.333,2118.667,15
2095,2133.333,15
2111,2125.333,15
2196.333,2128,15
1920.333,2120,15
1901.667,2122.667,15
1896.333,2142.667,15
1883,2126.667,15
1851,2132,15
1807,2129.333,15
1819,2136,15
1757.667,2120,15
2173.667,2125.333,17
2245.667,2128,19
2189.667,2366.667,20
2277.667,2266.667,20
2016.333,2312,23
2564.667,2266.333,21
2722,2338.333,21
2815.333,2194.333,21
2244.667,2129,21
2315.333,2122.333,21
2386,2122.333,21
2538,2119.667,21
2602,2131.667,21
2632.667,2138.333,21
2772.667,2153,21
2652.667,2139.667,22
2586,2131.667,23
2604.667,2133,23
2715.333,2149,23
2735.333,2150.333,23
2852.667,2149,23
2866,2151.667,23
2887.333,2149,23
2468.667,2382.333,24
2566,2247.667,28
2526,2299.667,28
2682,2281,28
2670,2317,28
2827.333,2297,28
2864.667,2299.667,28
2462,2239.667,28
2455.333,2267.667,28
2366,2267.667,28
2367.333,2310.333,28
2212.667,2262.333,28
2199.333,2321.333,28
2088.667,2240,28
2039.333,2229.333,28
1998,2226.667,28
1906,2240,28
1675.333,2217.333,28
